address,balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,total_received,total_sent,n_tx,final_balance,label,category
bc1qydntupzckl7m09a5mvaqsh5wvhexkt0rrsfjth,0,0,2,2,253620,4200.0,4200,4200,2,0,1,suspicious
1L15W6b9vkxV81xW5HDtmMBycrdiettHEL,8460,0,109452,300,27245409,641419.49,10323281693707,10323281685247,109450,8460,1,suspicious
bc1q6agcny78pv3jv0qu07ggf9splm5ftnrhc7u5w7,0,0,2,2,270355,2499985369.0,2499985369,2499985369,2,0,1,suspicious
bc1qdf7vsht0vdujptd4dmdzxytunfe04xgakylaau,60000,0,1,1,132330,60000.0,60000,0,1,60000,1,suspicious
1MusKqjbk497v4Jf1bkgSpKb4aUhjzfoqA,19980,0,10,14,1931319,2228453.5714285714,15609165,15589185,10,19980,1,suspicious
1iEMKaPqMp6zWv47UcPVzh7xzJvFvvZgx,0,0,4,4,518848,55000.0,110000,110000,4,0,1,suspicious
bc1qrxeecc52dfktp4qw32fpfmgwzn99udk3chr7va,0,0,10,12,1597621,78001.83333333333,468011,468011,10,0,1,suspicious
3MW6XZidVKCp4c5DxKR5v3KV9s4U5tAqwR,25525702,0,28,28,3633297,1082385.4285714286,27916247,2390545,28,25525702,1,suspicious
1BQL3qBmL9JCT8BR9tihNx2y6vfHwCLt5s,0,0,41,80,10548149,6959001.425,278360057,278360057,41,0,1,suspicious
bc1qakythfv38ns2d9rrw2kyrlmctme9rp6cmqec7a,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qsnyczla5560vg5kwujz3c9cy3gpw2dknld47zg,0,0,0,0,0,0,0,0,0,0,1,suspicious
1PAESnPZoLy3uEZrxy2xFfAEMtouJDsQ5n,0,0,0,0,0,0,0,0,0,0,1,suspicious
168Uz4zEheko81mAbjgHiKkNKMy2eTBqXt,0,0,20,28,3707662,2159005.1428571427,30226072,30226072,20,0,1,suspicious
1EndyMcQoXXgQJ8aZCb9wpUj68ZWZXwhx7,0,0,29,54,6987371,5259991.037037037,142019758,139519758,28,2500000,1,suspicious
16n2UFWDZzNPufTJi4BuZH9pxREugsTsDg,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qdsy3zyh9ce7yg43mnhy376gasrhya79n6g3z3l,1070,0,11,15,1987120,746242.9333333333,5597357,5596287,11,1070,1,suspicious
bc1qu7cx7982lzjzc6pzxfkplqw2xhd02qc39jr6ta,0,0,10,10,1463686,2918239.2,14591196,14591196,10,0,1,suspicious
bc1q2rndy2mlwplp9wdnj8rd0v8u5h03gxg6ac3jfw,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1q7tkpwp7z4sxkx276heg3985qgjggyuswrrkq6w,0,0,188,201,25575000,634951.0049751244,85879619,85879619,188,0,1,suspicious
bc1qkpm8wf9x0reph8r3h45rzzvk5v4ym2t95plj4w,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qydntupzckl7m09a5mvaqsh5wvhexkt0rrsfjth,0,0,2,2,253620,4200.0,4200,4200,2,0,1,suspicious
1L15W6b9vkxV81xW5HDtmMBycrdiettHEL,8460,0,109452,300,27245409,641419.49,10323281693707,10323281685247,109450,8460,1,suspicious
bc1q6agcny78pv3jv0qu07ggf9splm5ftnrhc7u5w7,0,0,2,2,270355,2499985369.0,2499985369,2499985369,2,0,1,suspicious
bc1qdf7vsht0vdujptd4dmdzxytunfe04xgakylaau,60000,0,1,1,132330,60000.0,60000,0,1,60000,1,suspicious
1MusKqjbk497v4Jf1bkgSpKb4aUhjzfoqA,19980,0,10,14,1931319,2228453.5714285714,15609165,15589185,10,19980,1,suspicious
1iEMKaPqMp6zWv47UcPVzh7xzJvFvvZgx,0,0,4,4,518848,55000.0,110000,110000,4,0,1,suspicious
bc1qrxeecc52dfktp4qw32fpfmgwzn99udk3chr7va,0,0,10,12,1597621,78001.83333333333,468011,468011,10,0,1,suspicious
3MW6XZidVKCp4c5DxKR5v3KV9s4U5tAqwR,25525702,0,28,28,3633297,1082385.4285714286,27916247,2390545,28,25525702,1,suspicious
1BQL3qBmL9JCT8BR9tihNx2y6vfHwCLt5s,0,0,41,80,10548149,6959001.425,278360057,278360057,41,0,1,suspicious
bc1qakythfv38ns2d9rrw2kyrlmctme9rp6cmqec7a,0,0,0,0,0,0,0,0,0,0,1,suspicious
