address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
1129yN1itF5a5Hqgw7aenPKrom3fv8Aid1,0,972426593,972426593,100,0,0,100,104,63884664,18700511.403846152,0,coinjoin-like
112b8ZjaJWGobxT7rAE8Qyw17bJa91jaec,0,38520768,38520768,72,0,0,72,84,48473070,917161.1428571428,1,gambling
112LhEwGZk5mqpLz9Q33QG5FxZNbpgDwTL,0,41774605,41774605,4,0,0,4,4,1286753,20887302.5,0,exchange
1136GYGTdySKCocdjqZphXiW4zoskXHqML,0,113510000,113510000,197,0,0,197,200,69237697,1038200.0,1,gambling
113Nu2g1dE4d3oiUH1ozUysK2RBgC98pxx,0,11142271,11142271,8,0,0,8,8,2721954,2785567.75,0,miner
113zXqPm8bUcqN3WwNkmbKDUKKxEwzCQHY,0,91098160,91098160,17,0,0,17,18,5824335,10122017.777777778,0,miner
1142QZVPTNpWYh9qHhajea7DdXBch9dD3s,0,27387187,27387187,6,0,0,6,6,1903142,9129062.333333334,0,exchange
114ADriuRWjkdmADR1wfL4KDqttNxGjp3D,0,100687080,100687080,54,0,0,54,94,37835894,3009464.2978723403,0,miner
114dCn4TFweCWGqnxhZbaBuS5EEarJJdVS,0,334000,334000,8,0,0,8,8,3013281,83500.0,0,services
114i8FXzB8RLuKodFwTMhmWbg4DxKWwiuZ,0,14150000,14150000,2,0,0,2,2,760981,14150000.0,0,exchange
115HCtNXsMHy751vNt2EueYVzr7E4GxwJG,0,22346238,22346238,4,0,0,4,4,1555239,11173119.0,0,exchange
115mjxm8A1GZ4rzuXmX1tfSmar8Sa5GCwf,0,1034781,1034781,2,0,0,2,2,760986,1034781.0,0,exchange
115NGnx1tJm2o2rPfnsjuYa7uEdxy2eRq8,0,434188,434188,4,0,0,4,4,1170927,217094.0,0,services
115Qn5pR6pAFUcKwAaDNHNrkh6wXZwtNtk,0,80580000,80580000,5,0,0,5,6,3094150,26860000.0,0,services
115vqUzjcwsMAYtKuCdFqj6JNfp1VLsjTS,0,33589941,33589941,8,0,0,8,8,2847962,8397485.25,0,exchange
115xuNLCqjQ12UPYsEBoFrQURx56WPcwLD,0,39688879,39688879,62,0,0,62,62,24948242,1280286.4193548388,0,exchange
116AYmdheVE4o64mDuRKmP9s3fsR84VXrC,0,40523649,40523649,8,0,0,8,8,2954129,10130912.25,0,miner
11d17SGG28V9K5zUEqCMeU2KnwVpk6Gvj,0,43143694,43143694,4,0,0,4,4,2011304,21571847.0,0,coinjoin-like
11NomAcyxruQ2t9isswHiFUDfEP6nyonn,0,238676239,238676239,8,0,0,8,8,3044710,59669059.75,0,exchange
121FDZK6HLCwBhCUSf6uTQvB48j6f18TjC,0,1605099490,1605099490,114,0,0,114,124,75679125,25888701.451612905,0,coinjoin-like
121p3NbdXCP9AKovxHPpW53EPXqZe9jiEf,0,245863271,245863271,50,0,0,50,50,20348409,9834530.84,0,exchange
122agEZiUmzzWCAMZ1gmRx63k8bTqGLfe7,0,1259507401,1259507401,208,0,0,208,200,77586963,7154320.135,0,miner
122D82buy7WaLGQaHiRZyThvSDyJUGsfiZ,546,195998606,195998060,17,546,0,17,17,6416993,23058627.411764707,0,exchange
122o9MHBsbtaZkr6mRv5hNQLbaCeBJFrth,0,2264663553,2264663553,8,0,0,8,8,4022329,566165888.25,0,coinjoin-like
1234AhbKmCr6xpRih7EcJzNb7YMkQBGPsP,20774100,75294100,54520000,3,20774100,0,3,3,1689143,43271366.666666664,0,services
1235hfQHqhkXKEgFy92bkRikFT5C7fCB4q,0,14402628467,14402628467,400,0,0,400,200,102351019,73015045.06,1,gambling
123aGxC6FAFKKdZzBRwtVyFA1uk8KCjzF1,5460,59291759865,59291754405,271,5460,0,271,200,75839685,350322053.5,0,exchange
123g3ijJLVz6zgKDgNJDbqvscMFN77smy6,0,123347000,123347000,2,0,0,2,2,1005271,123347000.0,0,coinjoin-like
123JSndGU2Q1v9gc3k2qTnUtuHakTGfc9B,0,198166179,198166179,1519,0,0,1519,200,69143638,231937.725,0,services
123okrhPQu5iZYmhWjq4h9LfJLfrAoP3tk,0,178175360,178175360,18,0,0,18,18,6095658,19797262.222222224,0,miner
123QRYnQqUZJZgQP9R1BRMiHF2amsZGHgt,24000000,43990000,19990000,3,24000000,0,3,3,1662619,21326666.666666668,0,services
123XGDxKQUWhj5xVibZHNU9RKXE6m8XMN3,0,56547134,56547134,192,0,0,192,192,70776448,589032.6458333334,0,services
12435wTGTdvaQTYs4fpKwf5V3ueafaPetH,0,100283670,100283670,14,0,0,14,14,5366446,14326238.57142857,0,miner
12445FN5tHKncybMFeNXxehfnRSamcr355,0,264067,264067,4,0,0,4,4,1521536,132033.5,0,services
124iA7yq1xjFA9JvGYeHvBBiZS9YE3qP5p,0,22332130,22332130,8,0,0,8,8,3120909,5583032.5,0,miner
124Jdxt5szHi7nyktjjtvg6WwGSZzxePPc,0,57823876,57823876,8,0,0,8,8,2832676,14455969.0,1,gambling
125bz7u6fmgkb2FSpHNQGXxZHR3oWuAByg,0,393685789,393685789,75,0,0,75,86,50971673,9155483.46511628,0,coinjoin-like
125EVYvyYeB742W8YVcFzoxQmgxvqfnznJ,0,127450084,127450084,10,0,0,10,10,3737713,25490016.8,0,miner
125i4CE6axsQHbmSPtrnjWuxAsGvVDEnsr,0,176833961,176833961,41,0,0,41,46,18085516,7879199.695652174,0,miner
125KffLCotHnPTctejLh38YhPk8Tk5XuQF,0,28611510600,28611510600,180,0,0,180,180,101795482,317905673.3333333,0,coinjoin-like
125MgaE23Pz35uCudN6N3d3zYyprXw8ScK,0,7000000,7000000,2,0,0,2,2,760983,7000000.0,0,exchange
125NDEksWXKc7SgbJZePtaEPZwMVite5Wc,0,1168644,1168644,4,0,0,4,4,1528967,584322.0,0,miner
125Q7fJ4CG81pEcVZHJeXnzqjirT4ofoUE,0,225029141,225029141,2797,0,0,2797,200,33695929,71515.31,1,gambling
125uJXRSPoYWHMzvPunT2Ljo23CC896QRA,0,54054412,54054412,14,0,0,14,14,5544824,7722058.857142857,0,miner
125yNisog6W6wRAQvEGx88ujTs2Po4QjA2,0,9400144,9400144,6,0,0,6,6,2274846,3133381.3333333335,0,exchange
126cHpSUNNsh2dRcLhxAZGSqjcrRvWuDKC,0,1000000,1000000,2,0,0,2,2,1005315,1000000.0,0,coinjoin-like
126Gwoa7HxdvHh5v2AMPp94w4tGsKgvpsB,0,3631917123,3631917123,520,0,0,520,200,94112830,3668368.49,1,gambling
126JJuRNbteotaV1Qe6wFJeS8CgiCyGnnn,0,7962577,7962577,41,0,0,41,42,15661821,379170.3333333333,0,miner
126m8bJyFzauZTcEetFbC1MhfZ7zf9PDcM,0,64171218,64171218,232,0,0,232,200,73648896,569881.215,0,miner
126p4Mk22CajdkvtsXZvLjWNXT5FdGayyH,0,2120000,2120000,2,0,0,2,2,761631,2120000.0,0,services
126T1unHtNk3TxQcUmQ1ho9RjLxzAAQGpj,0,13743751,13743751,12,0,0,12,18,9616096,1527083.4444444445,0,services
126Wf5S2urX7enUV5v1YzUobwzrRt7ZeVt,0,73848970,73848970,30,0,0,30,30,11464824,4923264.666666667,0,miner
126yKRcjXqbxVbxz2vUZXDd47ZATMYcFv3,0,36022332,36022332,49,0,0,49,52,18276211,1385474.3076923077,0,exchange
127Awf7hfh4jtWkckTtZeqXpcWgSsnxq5M,0,88637661,88637661,4,0,0,4,4,1550778,44318830.5,0,exchange
127EX4hrxu9u3RewGQRyVz6vhQnPYgYEjT,0,388000,388000,2,0,0,2,2,760985,388000.0,0,services
127iCN9n6rXoByn5gZG8RtPkMwGL5TZCks,0,12950000,12950000,2,0,0,2,2,760985,12950000.0,0,exchange
127P8BPL3bsCXZJMAYVfwFDy4AgnAo57UJ,0,892018,892018,2,0,0,2,2,760980,892018.0,0,miner
127QqwdDhAsDVJqsjHPCudnVWaqjQdacg7,0,17516099,17516099,2,0,0,2,2,760987,17516099.0,0,miner
127Za3SMUXELc4eFeU9YbFDY9mT1z5aF4K,0,10733873,10733873,6,0,0,6,6,2279090,3577957.6666666665,0,miner
128AcBx5k3aPVBhXLEkittuwhfbJyJ1kjv,0,47310000,47310000,28,0,0,28,30,17040917,3154000.0,1,gambling
128dG4hrRP1xhV4HBdqxicsxejtwj3fTSZ,0,204211066,204211066,32,0,0,32,32,12973165,12763191.625,0,exchange
128WVSKCqi5QZrdDVvupi9JdnKJCSdGNmo,0,40189815,40189815,12,0,0,12,12,4600283,6698302.5,0,miner
129ErMVshjWn6fnH13yv54rb3a8FWCvm7m,0,4000000,4000000,2,0,0,2,2,760992,4000000.0,0,exchange
129iTGKofuDQcTbPvxUb6H7cYFHjaGqmB6,0,17851830,17851830,8,0,0,8,8,3023926,4462957.5,0,miner
129NLAt2x8px3so7UcVWD9v4Ve2Fvg9zNR,0,7564140000,7564140000,5,0,0,5,8,4713991,6851801560.5,0,coinjoin-like
