address,category,label
1129yN1itF5a5Hqgw7aenPKrom3fv8Aid1,coinjoin-like,0
112b8ZjaJWGobxT7rAE8Qyw17bJa91jaec,gambling,1
112LhEwGZk5mqpLz9Q33QG5FxZNbpgDwTL,exchange,0
1136GYGTdySKCocdjqZphXiW4zoskXHqML,gambling,1
113Nu2g1dE4d3oiUH1ozUysK2RBgC98pxx,miner,0
113zXqPm8bUcqN3WwNkmbKDUKKxEwzCQHY,miner,0
1142QZVPTNpWYh9qHhajea7DdXBch9dD3s,exchange,0
114ADriuRWjkdmADR1wfL4KDqttNxGjp3D,miner,0
114dCn4TFweCWGqnxhZbaBuS5EEarJJdVS,services,0
114i8FXzB8RLuKodFwTMhmWbg4DxKWwiuZ,exchange,0
115HCtNXsMHy751vNt2EueYVzr7E4GxwJG,exchange,0
115mjxm8A1GZ4rzuXmX1tfSmar8Sa5GCwf,exchange,0
115NGnx1tJm2o2rPfnsjuYa7uEdxy2eRq8,services,0
115Qn5pR6pAFUcKwAaDNHNrkh6wXZwtNtk,services,0
115vqUzjcwsMAYtKuCdFqj6JNfp1VLsjTS,exchange,0
115xuNLCqjQ12UPYsEBoFrQURx56WPcwLD,exchange,0
116AYmdheVE4o64mDuRKmP9s3fsR84VXrC,miner,0
11d17SGG28V9K5zUEqCMeU2KnwVpk6Gvj,coinjoin-like,0
11NomAcyxruQ2t9isswHiFUDfEP6nyonn,exchange,0
121FDZK6HLCwBhCUSf6uTQvB48j6f18TjC,coinjoin-like,0
121p3NbdXCP9AKovxHPpW53EPXqZe9jiEf,exchange,0
122agEZiUmzzWCAMZ1gmRx63k8bTqGLfe7,miner,0
122D82buy7WaLGQaHiRZyThvSDyJUGsfiZ,exchange,0
122o9MHBsbtaZkr6mRv5hNQLbaCeBJFrth,coinjoin-like,0
1234AhbKmCr6xpRih7EcJzNb7YMkQBGPsP,services,0
1235hfQHqhkXKEgFy92bkRikFT5C7fCB4q,gambling,1
123aGxC6FAFKKdZzBRwtVyFA1uk8KCjzF1,exchange,0
